IP,Colo,Region
192.9.131.162,SJC,North_America
192.9.139.160,SJC,North_America
192.9.149.198,SJC,North_America
192.9.157.76,SJC,North_America
192.9.175.224,SYD,Oceania
192.9.186.103,SYD,Oceania
192.9.230.55,SJC,North_America
192.9.243.199,SJC,North_America
192.9.250.241,SJC,North_America
193.122.154.82,IAD,North_America
193.122.177.228,IAD,North_America
193.122.194.62,IAD,North_America
193.122.97.248,ICN,Asia_Pacific
193.123.180.197,LHR,Europe
193.123.232.91,ICN,Asia_Pacific
193.123.233.175,ICN,Asia_Pacific
193.123.236.97,ICN,Asia_Pacific
193.123.34.31,AMS,Europe
207.211.146.175,MEL,Oceania
207.211.148.122,MEL,Oceania
207.211.157.214,MEL,Oceania
213.35.100.242,SIN,Asia_Pacific
213.35.103.132,SIN,Asia_Pacific
213.35.104.188,SIN,Asia_Pacific
213.35.104.60,SIN,Asia_Pacific
213.35.113.90,SIN,Asia_Pacific
213.35.123.85,SIN,Asia_Pacific
213.35.126.97,SIN,Asia_Pacific
213.35.127.18,SIN,Asia_Pacific
217.142.134.170,ICN,Asia_Pacific
217.142.241.68,KIX,Asia_Pacific
217.142.244.178,KIX,Asia_Pacific
217.142.245.46,KIX,Asia_Pacific
40.233.103.212,YYZ,North_America
40.233.110.251,YYZ,North_America
40.233.116.225,YYZ,North_America
40.233.117.135,YYZ,North_America
40.233.68.138,YYZ,North_America
40.233.71.238,YYZ,North_America
40.233.77.216,YYZ,North_America
40.233.77.25,YYZ,North_America
40.233.86.182,YYZ,North_America
40.233.87.120,YYZ,North_America
40.233.96.128,YYZ,North_America
40.233.99.248,YYZ,North_America
64.110.101.125,KIX,Asia_Pacific
64.110.104.119,KIX,Asia_Pacific
64.110.104.30,KIX,Asia_Pacific
64.110.70.64,ICN,Asia_Pacific
64.110.71.122,ICN,Asia_Pacific
64.110.74.109,ICN,Asia_Pacific
64.110.75.145,ICN,Asia_Pacific
64.181.188.99,GRU,South_America
64.181.204.205,ORD,North_America
64.181.218.67,ORD,North_America
64.181.224.233,SJC,North_America
64.181.227.82,SJC,North_America
64.181.247.243,SJC,North_America
64.181.255.215,SJC,North_America
68.233.122.42,YUL,North_America
68.233.127.74,YUL,North_America
79.72.91.32,LHR,Europe
79.76.105.178,FRA,Europe
79.76.127.162,FRA,Europe
80.225.216.192,BOM,Asia_Pacific
80.225.220.55,BOM,Asia_Pacific
80.225.233.118,BOM,Asia_Pacific
80.225.233.217,BOM,Asia_Pacific
80.225.80.164,FRA,Europe
80.225.84.198,FRA,Europe
82.70.232.70,MRS,Europe
82.70.234.100,MRS,Europe
82.70.249.215,MRS,Europe
84.235.160.197,AMS,Europe
84.235.160.223,AMS,Europe
84.235.166.124,AMS,Europe
84.235.250.237,DXB,Middle_East
84.8.137.211,JNB,Africa
84.8.142.203,JNB,Africa
84.8.145.58,LHR,Europe
84.8.157.253,LHR,Europe
88.96.41.86,CDG,Europe
88.96.47.56,CDG,Europe
88.96.48.174,CDG,Europe
88.96.52.210,CDG,Europe
88.96.58.185,CDG,Europe
89.168.100.165,FRA,Europe
89.168.108.209,FRA,Europe
89.168.110.240,FRA,Europe
89.168.118.210,FRA,Europe
89.168.60.222,CDG,Europe
89.168.98.97,FRA,Europe
92.4.84.235,BOM,Asia_Pacific
92.4.92.23,BOM,Asia_Pacific
92.5.0.222,FRA,Europe
92.5.10.103,FRA,Europe
92.5.118.108,FRA,Europe
92.5.12.76,FRA,Europe
92.5.228.167,AMS,Europe
92.5.229.130,AMS,Europe
92.5.55.37,FRA,Europe
